code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603658,安图生物,医疗保健,河南,41.17,1.37,4.2,224801.7,85541.96,79123.75,53614.45,1.28,0.5870000000000001,3.84,12.59,20160901,50916.82,1.21,45.63,28.84,66.72,29.07,11862.0
603659,璞泰来,化工原料,上海,28.91,0.64,4.33,602826.81,436631.94,55093.28,105621.07,2.44,0.992,6.34,6.03,20171103,124199.67,2.87,47.76,32.48,33.18,18.73,12712.0
603660,苏州科达,通信设备,江苏,29.07,2.38,3.6,213894.7,182695.13,19527.17,37815.59,1.05,0.26,4.11,3.6,20161201,84941.88,2.36,44.29,21.46,63.89,9.27,15115.0
603661,恒林股份,家居用品,浙江,25.92,0.25,1.0,267127.78,207133.25,32480.75,135395.72,13.54,0.565,21.47,1.36,20171121,64271.82,6.43,10.74,-45.47,16.97,5.58,19720.0
603663,三祥新材,矿物制品,福建,22.87,0.49,1.36,71625.72,40036.5,14710.12,17578.32,1.3,0.49,3.82,3.85,20160801,19509.82,1.44,50.57,59.18,28.37,14.41,14408.0
603665,康隆达,纺织,浙江,26.16,0.37,1.0,130268.47,64862.0,30617.05,58865.8,5.89,0.43,9.56,2.36,20170313,22944.15,2.29,11.09,17.75,25.68,10.5,8832.0
603666,亿嘉和,专用机械,江苏,40.95,0.18,0.7,98843.17,90627.47,1318.39,59937.63,8.54,1.16,12.42,5.73,20180612,18184.07,2.59,0.0,0.0,63.58,34.94,15340.0
603667,五洲新春,机械基件,浙江,19.23,1.13,2.63,212885.66,119236.52,62802.48,50323.43,1.91,0.37,4.69,1.75,20161025,42384.65,1.61,16.61,7.96,21.56,8.57,28771.0
603668,天马科技,饲料,福建,23.18,1.86,3.0,216894.09,164791.05,34963.32,19060.4,0.64,0.237,2.99,2.46,20170117,33313.45,1.11,29.66,1.0,20.22,7.0,20222.0
603669,灵康药业,化学制药,西藏,16.55,3.64,3.64,171151.81,104047.88,25304.07,54325.1,1.49,0.456,3.74,2.69,20150528,37184.55,1.02,104.74,71.68,87.82,14.06,23132.0
603676,卫信康,化学制药,西藏,59.37,0.67,4.23,110186.71,73589.68,12634.85,25683.25,0.61,0.152,2.1,5.74,20170721,17963.82,0.42,69.82,-16.54,48.27,13.5,29730.0
603677,奇精机械,机械基件,浙江,42.71,0.57,1.96,154550.72,101587.06,32576.41,49064.05,2.5,0.2,4.62,3.57,20170206,24475.09,1.25,2.43,-19.25,18.35,5.95,6238.0
603678,火炬电子,元器件,福建,19.27,4.51,4.53,364208.75,246875.75,62340.25,109992.4,2.43,0.389,5.82,2.57,20150126,99650.9,2.2,12.3,51.17,35.7,18.7,9264.0
603679,华体科技,电气设备,四川,35.89,0.35,1.01,77419.13,63126.6,5897.08,20800.75,2.06,0.316,5.37,4.22,20170621,21952.03,2.17,63.54,100.57,32.7,11.67,4815.0
603680,今创集团,运输设备,江苏,21.44,0.59,6.09,736653.38,565954.56,72997.11,171792.66,2.82,0.33,5.93,2.28,20180227,104226.46,1.71,7.55,-12.52,37.05,14.44,28455.0
603683,晶华新材,化工原料,上海,51.1,0.44,1.27,123751.31,63171.11,21579.86,36755.37,2.9,0.13699999999999998,6.17,2.28,20171020,27646.85,2.18,17.53,-25.12,19.51,4.41,20697.0
603685,晨丰科技,电气设备,浙江,21.04,0.33,1.3,100579.2,80348.43,15246.86,56186.94,4.32,0.35100000000000003,7.01,2.1,20171127,20035.13,1.54,7.56,-20.1,22.93,11.1,13379.0
603686,龙马环卫,专用机械,福建,12.97,2.7,2.99,397765.88,330583.47,55627.94,103714.56,3.47,0.6659999999999999,7.63,1.51,20150126,84961.18,2.84,9.51,3.94,24.83,8.01,19474.0
603688,石英股份,矿物制品,江苏,23.46,3.37,3.37,147286.48,79424.97,33937.95,47016.3,1.39,0.304,4.06,2.35,20141031,49840.15,1.48,14.16,36.29,43.27,22.52,13619.0
603689,皖天然气,供气供热,安徽,22.28,1.67,3.36,309998.31,78027.47,182743.09,99220.02,2.95,0.368,5.85,1.87,20170110,55986.3,1.67,19.17,35.12,10.86,5.5,27649.0
603690,至纯科技,专用机械,上海,100.9,0.92,2.1,132034.95,99581.15,12980.42,5563.18,0.26,0.091,2.04,8.97,20170113,16785.2,0.8,19.13,-23.71,34.53,10.13,19883.0
603693,江苏新能,新型电力,江苏,24.06,1.18,6.18,794051.5,280578.69,484078.59,314985.59,5.1,0.35,7.19,1.87,20180703,64079.88,1.04,0.0,0.0,44.02,23.12,109261.0
603696,安记食品,食品,福建,47.52,0.48,1.68,77163.0,53023.61,6878.2,27475.45,1.64,0.182,4.4,2.62,20151209,25923.24,1.54,27.14,16.14,30.7,13.2,6209.0
603698,航天工程,专用机械,北京,24.25,4.12,4.12,367868.22,260375.84,61894.82,105935.61,2.57,0.43,6.34,2.19,20150128,99014.81,2.4,13.64,3.26,38.87,21.49,25631.0
603699,纽威股份,专用机械,江苏,35.26,7.5,7.5,466973.5,373225.66,66365.2,80377.43,1.07,0.153,3.42,3.16,20140117,77015.03,1.03,18.73,13.02,30.72,8.29,13488.0
603701,德宏股份,汽车配件,浙江,21.44,0.71,1.46,87871.86,59627.43,20380.4,24864.67,1.7,0.268,4.18,2.75,20160412,22471.22,1.54,-0.24,-3.29,31.54,16.26,13549.0
603703,盛洋科技,通信设备,浙江,0.0,1.09,2.3,101876.47,65820.32,27226.36,8562.71,0.37,-0.027000000000000003,2.27,3.23,20150423,17592.97,0.77,-34.94,-123.43,16.18,-1.49,20266.0
603706,东方环宇,供气供热,新疆,44.81,0.4,1.6,79920.06,36387.5,27886.65,16806.61,1.05,0.41,4.86,5.7,20180709,22471.07,1.4,0.0,0.0,39.89,25.03,38535.0
603707,健友股份,化学制药,江苏,23.83,2.85,5.52,318503.66,264484.63,25167.55,50947.67,0.92,0.605,4.2,4.58,20170719,117652.67,2.13,66.39,49.54,48.58,25.64,9447.0
