code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000001,平安银行,银行,深圳,6.77,171.7,171.7,335205600.0,0.0,937400.0,5646500.0,3.29,1.14,12.54,0.86,19910403,9197300.0,5.36,8.56,6.8,0.0,23.6,406242.0
000002,万 科Ａ,全国地产,深圳,13.5,97.15,110.39,143222208.0,121240816.0,1116536.88,887485.81,0.8,1.267,12.68,1.8,19910129,8381792.0,7.59,50.32,26.09,34.76,7.94,261810.0
000004,国农科技,生物制药,深圳,327.86,0.83,0.84,32035.1,19057.85,2974.78,93.87,0.01,0.024,1.57,9.88,19910114,3566.48,0.42,427.49,152.59,81.94,1.28,9382.0
000005,世纪星源,房产服务,深圳,173.47,9.51,10.59,287118.34,117099.11,3138.87,68836.46,0.65,0.008,1.26,2.12,19901210,-43765.95,-0.41,34.48,145.88,38.2,2.98,127249.0
000006,深振业Ａ,区域地产,深圳,9.94,13.48,13.5,1246334.38,963907.31,267.29,48432.15,0.36,0.373,4.32,1.14,19920427,262907.88,1.95,-31.28,48.39,38.98,31.57,82728.0
000007,全新好,酒店餐饮,深圳,0.0,3.09,3.46,42590.43,17050.28,6837.25,15702.4,0.45,-0.032,1.08,6.39,19920413,-13661.4,-0.39,3.07,-152.59,73.32,-49.42,13351.0
000008,神州高铁,运输设备,北京,72.02,25.43,28.18,988794.19,509633.59,24362.1,290150.16,1.03,0.044,2.52,1.67,19920507,148262.61,0.53,31.7,1.34,48.57,9.58,80438.0
000009,中国宝安,综合类,深圳,37.13,21.2,21.49,2825562.0,1925251.75,365375.63,80019.31,0.37,0.053,2.36,1.68,19910625,187668.31,0.87,47.59,43.49,35.78,2.65,171333.0
000010,美丽生态,建筑施工,深圳,0.0,5.22,8.2,264955.91,237805.55,5805.55,149537.16,1.82,-0.104,1.31,3.33,19951027,-125571.97,-1.53,-60.67,-86.54,5.45,-79.03,54302.0
000011,深物业A,区域地产,深圳,31.35,1.76,5.96,459995.69,371701.91,3030.78,11893.8,0.2,0.139,4.74,1.84,19920330,181549.73,3.05,-37.36,-77.23,16.46,10.06,44698.0
000012,南 玻Ａ,玻璃,深圳,16.88,17.36,28.63,2052481.25,613818.19,1149429.75,102939.5,0.36,0.13,3.08,1.35,19920228,438843.81,1.53,10.66,-10.22,25.07,6.45,152677.0
000014,沙河股份,全国地产,深圳,598.54,2.02,2.02,182606.0,165362.16,1576.97,996.57,0.05,0.011,3.67,2.44,19920602,31022.9,1.54,-56.58,-49.07,26.48,1.22,34161.0
000016,深康佳Ａ,家用电器,深圳,12.15,15.97,24.08,2813400.5,2117993.75,178910.19,10473.21,0.04,0.142,3.3,1.05,19920327,421183.09,1.75,54.53,1007.16,6.71,1.94,89709.0
000017,深中华A,文教休闲,深圳,1551.86,3.03,5.51,7015.8,6364.03,368.15,62783.43,1.14,0.002,0.03,132.13,19920331,-119487.25,-2.17,6.0,179.54,10.16,1.07,54872.0
000018,神州长城,装修装饰,深圳,11.73,13.35,16.98,1102556.63,921912.88,33142.51,-129934.97,-0.77,0.085,1.3,1.53,19920616,165116.63,0.97,-47.54,-46.39,17.31,9.07,73328.0
000019,深深宝Ａ,软饮料,深圳,0.0,4.16,4.97,104048.4,51136.62,30367.56,35899.93,0.72,-0.037000000000000005,1.87,3.96,19921012,1815.56,0.04,-1.04,-2.74,28.22,-13.35,70909.0
000020,深华发Ａ,元器件,深圳,507.4,1.81,2.83,59359.9,31303.08,8434.61,14658.72,0.52,0.01,1.14,8.76,19920428,-18367.39,-0.65,-22.41,30.13,11.26,0.82,27697.0
000021,深科技,电脑设备,深圳,22.05,14.69,14.71,1488243.38,943114.19,256000.84,67823.25,0.46,0.117,3.99,1.29,19940202,233464.66,1.59,15.0,-44.13,3.96,2.08,110762.0
000022,深赤湾Ａ,港口,深圳,17.32,4.65,6.45,702858.63,83607.72,307882.72,16748.02,0.26,0.49,6.95,2.44,19930505,303170.0,4.7,5.91,14.49,46.3,25.36,35181.0
000023,深天地Ａ,其他建材,深圳,848.36,1.39,1.39,196582.23,175139.63,13484.67,10253.23,0.74,0.006,2.93,3.61,19930429,11363.15,0.82,15.23,-95.49,8.5,0.14,14082.0
000025,特 力Ａ,汽车服务,深圳,143.12,2.71,2.97,147858.47,56926.71,11692.71,56522.63,1.9,0.091,3.33,7.78,19930621,12471.87,0.42,22.97,9.45,22.34,13.6,53318.0
000026,飞亚达Ａ,其他商业,深圳,13.92,3.57,4.39,361735.53,247139.8,46109.75,106245.56,2.42,0.371,5.81,1.18,19930603,84639.67,1.93,3.6,19.12,42.21,6.34,0.0
000027,深圳能源,火力发电,深圳,19.16,39.64,39.64,7880011.0,1770587.63,3086458.0,399866.72,1.01,0.135,5.29,0.98,19930903,839751.19,2.12,29.26,33.16,22.53,6.73,118927.0
000028,国药一致,医药商业,深圳,15.62,3.08,4.28,2824471.0,2400514.25,55654.25,400253.59,9.35,2.165,25.73,1.75,19930809,637148.63,14.88,1.56,15.42,11.49,2.92,18993.0
000029,深深房Ａ,区域地产,深圳,17.17,8.92,10.12,451627.91,375137.63,3592.16,97824.49,0.97,0.325,3.12,3.58,19930915,107169.1,1.06,80.16,139.8,58.98,24.98,76443.0
000030,富奥股份,汽车配件,吉林,6.84,17.51,18.11,1126088.13,583880.25,197565.61,53226.01,0.29,0.266,3.3,1.1,19930929,362705.56,2.0,11.61,6.17,15.59,12.6,32820.0
000031,中粮地产,全国地产,深圳,7.15,18.14,18.14,8540154.0,7364726.5,55805.25,0.0,0.0,0.344,3.93,1.25,19931008,412822.44,2.28,8.86,301.84,46.05,12.5,182676.0
000032,深桑达Ａ,元器件,深圳,24.13,2.79,4.13,214267.91,164814.61,7876.81,4341.01,0.11,0.202,3.22,2.02,19931028,62242.1,1.51,-5.26,43.61,20.51,7.16,23712.0
000034,神州数码,综合类,深圳,16.26,3.58,6.54,2545469.25,2002461.63,20016.48,238062.77,3.64,0.409,5.49,2.42,19940509,49011.9,0.75,26.62,31.24,4.75,0.81,29504.0
000035,中国天楹,环境保护,江苏,27.43,12.81,13.52,840689.31,173624.27,130080.32,167896.45,1.24,0.123,2.36,1.91,19940408,106273.4,0.79,37.64,18.76,36.12,12.19,44409.0
000036,华联控股,全国地产,深圳,6.78,11.36,11.41,1004815.19,787960.63,87552.7,23431.77,0.21,0.333,3.7,1.22,19940617,250044.2,2.19,-50.6,-63.84,72.08,27.02,64970.0
000037,深南电A,火力发电,深圳,54.84,3.39,6.03,321063.88,154566.63,139412.13,36277.09,0.6,0.062,3.31,1.36,19940701,69735.15,1.16,3.12,1825.66,9.18,2.29,30845.0
000038,深大通,广告包装,深圳,26.4,1.8,5.23,567766.44,308917.56,9307.74,431336.81,8.25,0.228,10.14,1.19,19940808,42830.01,0.82,44.77,-35.23,13.43,9.66,16381.0
000039,中集集团,轻工机械,深圳,16.22,12.68,29.85,13826835.0,6411438.5,2283607.5,424915.09,1.42,0.31,10.27,1.02,19940408,1969434.38,6.6,30.47,21.14,13.79,2.22,83981.0
000040,东旭蓝天,新型电力,深圳,5.1,10.6,13.37,2828665.25,1424556.63,452472.41,887361.81,6.64,0.985,9.53,1.05,19940808,234220.25,1.75,10.92,769.56,18.08,36.92,37533.0
000042,中洲控股,全国地产,深圳,6.0,4.85,6.65,4432343.5,3882763.5,133276.59,250322.52,3.77,1.08,10.53,1.23,19940921,334208.75,5.03,82.43,374.52,44.67,12.07,12164.0
000043,中航善达,房产服务,深圳,16.96,6.67,6.67,1938006.75,1135457.25,61906.94,54264.88,0.81,0.189,6.36,1.01,19940928,271376.56,4.07,17.4,189.55,22.66,4.5,21808.0
000045,深纺织Ａ,纺织,深圳,144.42,4.57,5.11,429988.81,292191.75,102130.11,186945.27,3.66,0.019,4.71,1.16,19940815,-2261.9,-0.04,-27.19,-33.28,10.99,1.79,36545.0
000046,泛海控股,全国地产,北京,9.99,50.93,51.96,20301956.0,14010429.0,99718.71,522734.75,1.01,0.257,4.15,1.24,19940912,878598.13,1.69,-26.25,47.56,67.0,81.11,41680.0
000048,*ST康达,饲料,深圳,58.64,3.85,3.91,411219.47,294385.66,61068.01,4547.55,0.12,0.179,2.8,7.51,19941101,0.0,0.0,59.32,318.58,31.06,6.57,9124.0
000049,德赛电池,电气设备,深圳,18.31,2.05,2.05,647263.0,535094.94,65362.73,572.7,0.03,0.65,7.23,3.29,19950320,120965.01,5.89,35.22,16.49,7.59,2.11,35896.0
000050,深天马Ａ,元器件,深圳,12.34,14.01,20.48,6047592.0,1559632.38,2952207.75,2013588.75,9.83,0.623,12.84,0.8,19950315,399947.5,1.95,31.75,-11.14,15.46,5.87,87769.0
000055,方大集团,其他建材,深圳,10.38,6.78,11.55,765406.06,437360.06,46015.0,145.41,0.0,0.278,2.84,1.36,19960415,200711.48,1.74,8.89,-11.0,32.73,14.38,62786.0
000056,皇庭国际,房产服务,深圳,33.61,9.04,11.75,1365892.25,366021.66,5304.16,194016.84,1.65,0.086,4.56,1.27,19960708,226927.42,1.93,58.46,3.5,63.91,22.15,15116.0
000058,深 赛 格,元器件,深圳,26.13,5.38,12.36,633835.81,460858.31,5895.66,15689.25,0.13,0.079,1.57,2.63,19961226,40634.4,0.33,49.06,95.3,31.01,11.06,48917.0
000059,华锦股份,石油加工,辽宁,6.78,15.99,15.99,2984538.5,1278351.38,1332116.25,620243.31,3.88,0.662,8.24,0.73,19970130,485417.09,3.03,7.39,-13.88,19.4,4.17,72358.0
000060,中金岭南,铅锌,深圳,12.24,35.68,35.7,1922773.38,754589.44,549022.94,154458.56,0.43,0.17,2.8,1.49,19970123,437753.41,1.23,15.25,9.89,12.08,5.33,161731.0
000061,农 产 品,农业综合,深圳,0.0,16.95,16.97,1849776.75,336202.66,159402.73,266422.56,1.57,-0.01,2.78,1.48,19970110,11079.2,0.07,-0.71,-273.39,39.25,-1.6,49748.0
000062,深圳华强,批发业,深圳,17.91,6.67,7.21,1035024.0,633999.38,29272.8,98067.86,1.36,0.7190000000000001,6.29,2.73,19970130,250943.05,3.48,49.59,61.77,16.3,6.31,32425.0
000063,中兴通讯,通信设备,深圳,0.0,34.34,41.93,12421472.0,8817797.0,868277.69,1144963.38,2.73,-1.732,5.42,3.22,19971118,688959.38,1.64,-23.26,-285.92,32.3,-12.35,422010.0
000065,北方国际,建筑施工,北京,9.33,6.29,7.7,1167084.5,946625.0,44037.98,91372.78,1.19,0.445,5.11,1.63,19980605,212469.41,2.76,-17.85,72.45,18.77,8.35,32752.0
000066,中国长城,电脑设备,深圳,29.56,24.91,29.36,1425236.38,754711.5,181308.41,39382.35,0.13,0.085,2.12,2.39,19970626,208056.66,0.71,-8.08,-7.59,17.38,6.06,152480.0
000068,华控赛格,元器件,深圳,0.0,10.07,10.07,322020.63,121044.25,17267.07,119316.82,1.19,-0.03,0.62,4.33,19970611,-173199.06,-1.72,-6.87,-88.95,36.36,-34.92,31608.0
000069,华侨城Ａ,旅游景点,深圳,6.72,61.44,82.04,27374068.0,21937028.0,1388426.13,567454.44,0.69,0.62,6.58,0.85,19970910,3742255.5,4.56,26.75,7.6,60.88,20.73,103449.0
000070,特发信息,通信设备,深圳,20.22,5.42,6.27,673661.94,517243.44,54989.11,73884.7,1.18,0.156,3.28,1.92,20000511,63763.36,1.02,2.75,-7.92,15.23,3.82,38050.0
000078,海王生物,生物制药,深圳,11.62,18.57,26.47,3542676.75,2916613.5,78872.11,230853.72,0.87,0.123,2.21,1.3,19981218,89871.96,0.34,90.32,38.66,12.58,1.86,131562.0
000088,盐 田 港,港口,深圳,23.84,19.42,19.42,987488.13,138449.38,67406.31,79582.46,0.41,0.154,3.35,1.46,19970728,297462.28,1.53,16.73,5.13,51.04,101.9,67774.0
000089,深圳机场,机场,深圳,20.18,20.51,20.51,1363517.63,447953.91,705676.56,279627.63,1.36,0.281,5.63,1.34,19980420,589726.38,2.88,9.59,14.56,30.52,21.63,55955.0
000090,天健集团,建筑施工,深圳,17.45,9.28,14.37,2542567.25,2173747.25,30402.4,204128.84,1.42,0.142,4.39,1.13,19990721,203754.19,1.42,11.18,-40.97,19.8,5.9,35804.0
000096,广聚能源,石油贸易,深圳,26.36,5.11,5.28,264110.75,152095.75,6756.75,35133.7,0.67,0.153,4.64,1.74,20000724,120432.82,2.28,56.08,-16.41,9.63,9.84,32877.0
000099,中信海直,空运,深圳,38.4,6.06,6.06,546278.38,167257.7,285409.66,103327.21,1.7,0.071,4.92,1.1,20000731,112010.4,1.85,13.93,3.51,22.36,6.78,62173.0
000100,TCL 集团,家用电器,广东,10.3,117.28,135.5,16991684.0,7700433.5,2992384.75,603456.5,0.45,0.117,2.18,1.1,20040130,880866.38,0.65,0.67,53.4,18.29,3.02,472986.0
000150,宜华健康,医疗保健,广东,21.09,5.76,6.27,800568.25,337885.09,71407.4,74972.18,1.2,0.28,3.84,3.07,20000807,111332.57,1.78,27.27,70.54,38.59,15.2,12768.0
000151,中成股份,商贸代理,北京,34.37,2.67,2.96,241747.02,200660.59,6479.5,44202.68,1.49,0.223,3.32,3.08,20000906,9820.28,0.33,-44.75,0.48,15.72,7.54,46038.0
000153,丰原药业,化学制药,安徽,21.98,3.12,3.17,292316.94,166436.69,77487.09,50803.73,1.6,0.12,3.94,1.34,20000920,35013.03,1.1,27.21,-12.56,35.09,2.58,34450.0
000155,川能动力,农药化肥,四川,66.93,9.37,12.7,704845.13,362980.75,260918.84,328053.41,2.58,0.026,2.4,1.42,20000926,-173983.69,-1.37,5.5,-75.86,10.43,1.26,42230.0
000156,华数传媒,影视音像,浙江,18.25,12.8,14.33,1462593.38,859995.5,267906.16,623281.81,4.35,0.221,7.23,1.12,20000906,234159.66,1.63,4.21,2.97,40.49,20.31,38946.0
000157,中联重科,工程机械,湖南,14.7,62.26,77.92,8731797.0,6503585.0,559167.31,1321412.63,1.7,0.111,4.75,0.69,20001012,1437297.75,1.84,15.09,-23.63,25.59,5.87,362208.0
000158,常山北明,纺织,河北,118.76,16.24,16.53,1256308.5,734703.63,157121.42,289709.03,1.75,0.018000000000000002,3.6,1.2,20000724,117018.05,0.71,-17.36,-41.46,9.05,0.8,46389.0
000159,国际实业,石油贸易,新疆,0.0,4.81,4.81,276158.28,156800.13,36015.46,37429.85,0.78,-0.081,4.25,0.87,20000926,108290.92,2.25,141.79,35.16,14.65,-12.24,54924.0
000166,申万宏源,证券,新疆,22.36,200.28,225.36,34888076.0,0.0,126871.75,1393971.0,0.62,0.147,3.07,1.43,20150126,2066255.25,0.92,-2.85,-7.6,0.0,35.35,293578.0
000301,东方盛虹,综合类,江苏,156.11,12.18,40.29,428130.0,176116.38,36337.48,64300.43,0.16,0.06,2.88,1.87,20000529,129415.7,0.32,-9.08,-51.82,36.68,14.49,88601.0
000333,美的集团,家用电器,广东,9.29,64.8,66.27,25099780.0,17220656.0,2225692.75,1732315.63,2.61,1.97,11.97,3.03,19931112,5266529.5,7.95,14.6,19.66,27.16,9.07,165179.0
000338,潍柴动力,汽车配件,山东,6.89,43.1,79.97,19928434.0,11078428.0,2645096.5,11162.11,0.01,0.5489999999999999,4.62,1.64,20070430,3026270.25,3.78,13.76,65.76,21.79,5.34,167535.0
000400,许继电气,电气设备,河南,43.6,10.08,10.08,1464956.0,1245552.75,113799.17,83428.93,0.83,0.154,7.65,1.17,19970418,534970.19,5.31,-21.01,-48.42,17.78,3.74,67101.0
000401,冀东水泥,水泥,河北,7.47,13.47,13.48,5858885.0,2245264.0,2829031.25,479760.19,3.56,1.05,8.44,1.24,19960614,428176.44,3.18,15.03,111.7,30.87,6.4,122581.0
000402,金 融 街,全国地产,北京,11.13,29.88,29.89,13598099.0,9464453.0,255602.42,684076.56,2.29,0.289,9.89,0.65,19960626,1753897.0,5.87,-33.65,-18.51,45.48,13.05,85545.0
000403,ST生化,生物制药,山西,44.09,2.65,2.73,132134.75,70415.56,43304.89,11393.05,0.42,0.245,2.29,9.42,19960628,17713.05,0.65,32.72,49.62,53.24,15.64,11513.0
000404,长虹华意,专用机械,江西,31.06,6.93,6.96,993433.31,762769.19,151056.13,153677.02,2.21,0.09,4.51,0.83,19960619,85451.43,1.23,8.31,-47.75,11.55,0.93,38909.0
000407,胜利股份,供气供热,山东,22.18,7.46,8.8,594468.31,191946.0,118021.35,101575.68,1.15,0.08199999999999999,2.55,1.42,19960703,22196.77,0.25,29.36,69.2,17.1,3.38,45733.0
000408,藏格控股,农药化肥,青海,25.21,4.47,19.94,810387.88,385226.72,314380.63,107658.35,0.54,0.217,3.5,3.13,19960628,346852.75,1.74,5.44,37.38,74.56,37.97,24472.0
000409,*ST地矿,综合类,山东,0.0,4.06,5.11,581839.63,205547.22,101749.78,42542.96,0.83,-0.35,1.04,3.81,19960627,-40431.94,-0.79,-26.56,-148.89,5.83,-26.99,37209.0
000410,沈阳机床,机床制造,辽宁,95.65,7.4,7.65,2096423.0,1645000.63,300418.22,134763.11,1.76,0.033,1.16,5.42,19960718,-134861.72,-1.76,48.59,105.08,26.32,0.76,117864.0
000411,英特集团,医药商业,浙江,22.35,2.07,2.07,940341.19,851016.88,53651.45,3261.23,0.16,0.24,4.3,2.5,19960716,62520.73,3.01,9.88,18.15,6.61,0.49,13203.0
000413,东旭光电,元器件,河北,15.32,40.95,57.3,6669383.0,4296243.0,1093859.88,2179372.75,3.8,0.15,5.45,0.84,19960925,346755.09,0.61,128.24,34.64,18.94,7.71,350350.0
000415,渤海金控,多元金融,新疆,9.23,35.48,61.85,29224324.0,4943454.0,17561616.0,1707886.38,2.76,0.209,5.36,0.72,19960716,869950.5,1.41,0.78,25.66,37.52,6.49,103797.0
000416,民生控股,多元金融,山东,241.02,5.32,5.32,89971.36,72549.88,3868.16,2809.5,0.05,0.009000000000000001,1.61,2.71,19960719,24942.03,0.47,61.01,-66.57,98.86,74.72,37198.0
000417,合肥百货,百货,安徽,15.17,7.79,7.8,1021006.19,561408.31,166879.67,30882.48,0.4,0.22,4.77,0.93,19960812,184136.34,2.36,0.74,-32.14,18.63,2.18,30298.0
000418,小天鹅Ａ,家用电器,江苏,15.02,4.39,6.32,1954952.63,1773853.63,106437.6,129679.4,2.05,1.426,11.62,3.69,19970328,505812.41,8.0,14.09,23.31,26.6,7.48,17037.0
000419,通程控股,百货,湖南,14.95,5.43,5.44,508194.94,205111.2,112114.85,41739.53,0.77,0.203,5.51,0.73,19960816,101400.38,1.87,-3.49,16.63,21.35,3.98,27573.0
000420,吉林化纤,化纤,吉林,22.76,16.63,19.71,699954.13,188457.86,268420.97,138956.16,0.71,0.04,1.45,1.25,19960802,-68515.59,-0.35,29.22,37.59,15.2,6.09,65949.0
000421,南京公用,供气供热,江苏,15.84,5.73,5.73,1099744.5,541998.0,292795.38,40569.8,0.71,0.208,4.42,0.99,19960806,140442.98,2.45,-7.03,31.65,23.58,4.9,32360.0
000422,*ST宜化,农药化肥,湖北,5.01,8.98,8.98,2483519.75,666035.44,1074646.88,177377.61,1.98,0.2,-0.2,-13.5,19960815,-326729.41,-3.64,-0.92,188.43,18.77,3.82,62797.0
000423,东阿阿胶,中成药,山东,14.51,6.54,6.54,1239642.0,947787.0,172447.95,69067.68,1.06,1.318,15.48,2.47,19960729,825133.13,12.62,1.76,-4.35,63.19,28.88,87960.0
000425,徐工机械,工程机械,江苏,11.46,69.94,78.34,5440531.0,3981004.0,695828.13,334410.5,0.43,0.15,3.15,1.02,19960828,1085431.0,1.39,65.81,100.62,17.34,4.61,251718.0
000426,兴业矿业,铅锌,内蒙,12.34,13.3,18.78,938000.31,76021.93,357482.94,239718.84,1.28,0.196,3.09,1.56,19960828,142380.92,0.76,40.93,78.5,65.13,32.49,40933.0
000428,华天酒店,酒店餐饮,湖南,0.0,7.19,10.19,750265.06,158166.19,334033.59,145306.72,1.43,-0.202,2.75,0.9,19960808,26690.35,0.26,0.39,-38.64,53.72,-29.13,35253.0
000429,粤高速Ａ,路桥,广东,9.68,4.69,20.91,1586798.38,209622.13,794571.44,251401.59,1.2,0.373,4.15,1.74,19980220,327116.47,1.56,6.64,-12.75,65.25,50.72,61104.0
000430,张家界,旅游景点,湖南,49.55,3.32,4.05,253292.09,34050.78,57976.4,85254.4,2.11,0.05,3.89,1.27,19960829,26897.18,0.66,-16.87,-47.9,33.52,10.57,23935.0
000488,晨鸣纸业,造纸,山东,4.54,16.58,27.29,10386951.0,4726781.5,2745044.0,510570.59,1.87,0.54,6.04,0.91,20001120,915964.81,3.36,7.13,-8.5,32.89,10.56,117989.0
000498,山东路桥,建筑施工,山东,19.65,4.41,11.2,1926262.38,1481400.0,63176.86,-55383.69,-0.49,0.12,3.66,1.29,19970609,257786.47,2.3,32.11,-47.93,6.96,2.41,51171.0
000501,鄂武商Ａ,百货,湖北,6.98,6.77,7.69,2114970.25,625237.88,670977.88,143262.69,1.86,1.04,10.37,0.91,19921120,471310.09,6.13,-0.65,-10.58,21.9,6.05,25183.0
000502,绿景控股,医疗保健,广东,23.08,1.83,1.85,39331.85,28616.65,2256.96,2282.03,0.12,0.227,0.91,7.65,19921123,-4573.9,-0.25,-26.76,172.28,18.41,319.69,20254.0
000503,国新健康,医疗保健,海南,0.0,8.99,8.99,134415.84,84417.96,3601.26,0.0,0.0,-0.098,1.47,9.53,19921130,52668.5,0.59,-72.53,-10.36,-181.34,-394.9,48253.0
000504,南华生物,环境保护,湖南,0.0,3.11,3.12,39413.01,18516.42,1614.37,14164.02,0.45,-0.05,0.03,504.07,19921208,-47856.71,-1.54,153.64,-28.36,66.97,-42.91,13079.0
000505,京粮控股,食品,海南,28.72,3.6,6.86,558037.25,341677.78,128434.6,159254.16,2.32,0.149,3.21,1.78,19921221,-19684.73,-0.29,0.44,0.42,9.04,1.85,37523.0
000506,中润资源,区域地产,山东,0.0,9.29,9.29,245159.45,140081.34,56085.68,5125.95,0.06,-0.028,1.05,3.21,19930312,-7060.99,-0.08,-25.59,80.51,11.29,-12.99,52160.0
000507,珠海港,港口,广东,29.97,7.72,7.9,690315.13,189274.19,249594.25,78896.82,1.0,0.181,3.62,2.0,19930326,113877.06,1.44,32.5,27.9,20.91,8.34,107616.0
000509,华塑控股,其他建材,四川,0.0,8.25,8.25,25942.53,19559.15,1000.85,22813.92,0.28,-0.01,0.07,42.42,19930507,-102706.15,-1.24,-21.43,46.23,1.45,-0.7,62589.0
000510,金路集团,化工原料,四川,22.45,5.49,6.09,153984.81,54587.51,84829.97,2541.12,0.04,0.139,1.5,2.76,19930507,16416.32,0.27,29.95,113.93,15.57,5.2,54221.0
000513,丽珠集团,中成药,广东,15.82,4.59,7.19,1562270.13,1076168.75,322012.91,154675.42,2.15,1.307,14.88,1.85,19931028,787054.13,10.95,4.9,-77.86,62.64,13.74,44362.0
000514,渝 开 发,区域地产,重庆,199.12,8.44,8.44,651167.31,506418.16,70448.47,118712.92,1.41,0.014,3.53,1.05,19930712,79296.27,0.94,-47.13,-82.51,24.14,3.02,60784.0
000516,国际医学,百货,陕西,3.07,19.33,19.71,656165.25,270299.91,38439.39,24489.05,0.12,1.132,2.95,1.57,19930809,342905.31,1.74,-37.44,1121.5,20.91,122.89,87690.0
000517,荣安地产,区域地产,浙江,25.81,30.36,31.84,2086516.25,1967177.25,882.85,-169140.3,-0.53,0.055,1.36,2.08,19930806,274455.25,0.86,-65.71,-62.84,36.23,13.76,64603.0
000518,四环生物,生物制药,江苏,1571.31,10.3,10.3,92458.27,76163.75,8279.62,3557.26,0.03,0.001,0.61,5.13,19930908,-47419.69,-0.46,-8.31,-94.61,75.68,0.57,71034.0
000519,中兵红箭,矿物制品,湖南,25.5,7.35,14.03,1010987.88,669262.19,215308.05,352332.28,2.51,0.18600000000000005,5.56,1.14,19931008,272848.41,1.94,17.42,885.08,24.7,8.5,90393.0
000520,长航凤凰,水运,湖北,28.73,10.12,10.12,56604.21,34104.03,18703.64,195956.11,1.94,0.051,0.36,8.02,19931025,-285467.34,-2.82,21.8,172.66,24.66,11.17,113172.0
000521,长虹美菱,家用电器,安徽,33.78,8.03,10.45,1609528.5,1290681.38,157656.69,268438.81,2.57,0.063,4.83,0.59,19931018,94085.74,0.9,0.53,-45.4,17.25,0.5,60704.0
000523,广州浪奇,日用化工,广东,69.98,5.35,6.28,570598.31,485522.44,42760.5,109333.72,1.74,0.027000000000000003,3.0,1.28,19931108,20451.38,0.33,10.23,0.49,3.03,0.29,35914.0
000524,岭南控股,酒店餐饮,广东,22.04,2.72,6.7,453082.16,149197.41,56506.44,121464.77,1.81,0.15,3.66,1.8,19931118,35298.78,0.53,11.47,24.39,15.84,3.19,25039.0
000525,红 太 阳,农药化肥,江苏,11.4,5.07,5.81,1242460.0,604098.19,382425.13,294326.06,5.07,0.931,9.66,1.46,19931028,179420.11,3.09,12.47,3.8,30.99,13.13,20565.0
000526,紫光学大,文教休闲,福建,9.9,0.96,0.96,355032.84,142382.98,15391.37,5808.39,0.6,1.051,1.79,11.64,19931101,1077.35,0.11,1.74,0.68,32.9,6.1,12160.0
000528,柳 工,工程机械,广西,8.26,14.63,14.63,2478368.0,1643995.63,265348.28,342692.41,2.34,0.407,6.45,1.04,19931118,425582.06,2.91,65.55,130.13,22.98,6.11,79097.0
000529,广弘控股,食品,广东,21.74,5.7,5.84,214580.38,155274.94,16986.47,57095.94,0.98,0.1,2.38,1.84,19931118,16588.48,0.28,5.56,10.3,22.25,5.31,38805.0
000530,大冷股份,机械基件,辽宁,26.65,5.98,8.55,566201.44,238637.3,86166.25,75813.06,0.89,0.086,3.94,0.77,19931208,74400.53,0.87,3.26,-49.47,16.67,4.86,48804.0
000531,穗恒运Ａ,火力发电,广东,30.88,6.85,6.85,981168.81,272486.25,285866.66,89727.22,1.31,0.106,5.67,0.77,19940106,199064.11,2.91,6.78,-50.97,18.07,3.07,30233.0
000532,华金资本,元器件,广东,99.18,3.43,3.45,252314.92,69416.06,5929.28,2533.68,0.07,0.06,2.19,3.61,19940103,32361.0,0.94,7.75,-24.73,39.45,6.93,39846.0
000533,万 家 乐,电气设备,广东,62.31,6.85,6.91,447845.84,355080.84,23173.78,4081.43,0.06,0.021,2.29,1.14,19940103,75890.0,1.1,220.4,-39.83,2.3,0.21,50231.0
000534,万泽股份,区域地产,广东,112.71,4.91,4.92,250840.09,158072.31,17413.86,39697.0,0.81,0.046,3.05,3.43,19940110,42998.9,0.87,-94.17,160.41,58.94,221.28,16767.0
000536,华映科技,元器件,福建,0.0,20.03,27.66,2354150.75,1032939.63,870970.69,859451.63,3.11,-0.098,4.4,0.45,19931126,22365.59,0.08,8.2,-483.42,8.68,-11.85,43471.0
000537,广宇发展,区域地产,天津,4.15,4.06,18.63,7420815.0,6730072.0,191606.25,282715.91,1.52,0.8959999999999999,5.95,1.25,19931210,629707.56,3.38,111.55,465.1,31.7,16.84,33835.0
000538,云南白药,中成药,云南,20.08,10.41,10.41,2920660.75,2636110.25,167812.25,124721.57,1.2,2.624,18.44,3.81,19931215,1597857.88,15.34,9.53,4.88,30.41,13.85,55010.0
000539,粤电力Ａ,火力发电,广东,22.58,25.54,52.5,7281727.0,1354921.63,4005214.5,500425.06,0.95,0.085,4.51,0.86,19931126,549827.31,1.05,12.19,248.65,12.19,3.23,97149.0
000540,中天金融,多元金融,贵州,3.6,65.06,70.05,7782829.0,3391010.5,181881.73,123490.61,0.18,0.677,2.94,1.66,19940202,1150902.13,1.64,-51.34,232.97,42.17,101.43,227226.0
000541,佛山照明,家用电器,广东,17.38,10.72,13.99,565566.13,349690.78,51056.26,15860.8,0.11,0.231,3.11,1.72,19931123,163673.59,1.17,-2.19,-52.3,23.8,11.22,91412.0
